job_id,job_title,company_name,location,city,state,industry,job_position,experience,source
MON0372,"Senior Consultant - Business Consulting Risk - FS - CNS - Risk - FSRM - Mumbai, Pune",Ernst and young LLP,"Mumbai, Pune",,,Artificial Intelligence / Machine Learning,Senior,3 - 7 Years,Monster
MON0373,Senior Consultant – F&A Digital Transformation || Infosys BPM,Infosys BPM Limited,Bengaluru,,,Marketing,Senior,8 - 12 Years,Monster
MON0374,Tech Consulting - Oracle - Technical Consultant,Ernst and young LLP,Cochin / Kochi / Ernakulam,,,Consulting,Mid,8 - 10 Years,Monster
MON0375,SAP ABAP consultant,Tata Consultancy Services Limited,"Hyderabad, Kolkata, Delhi NCR",,,Consulting,Mid,2 - 7 Years,Monster
MON0376,Clear BC-SC And O-Manufacturing-Senior Consultant,Ernst and young LLP,Thiruvananthapuram / Trivandrum,,,Consulting,Senior,3 - 7 Years,Monster
MON0377,Full Stack Web Developer (Angular & C#),Hti Manpower Outsoursing Services Private Limited,Remote,,,Web Development,Mid,8 - 10 Years,Monster
MON0378,"Automation Tester (C#, Selenium)",Gainwell Technologies LLC,Remote,,,Quality Assurance / Testing,Mid,2 - 5 Years,Monster
MON0379,Pro-C Developer,Gainwell Technologies LLC,Remote,,,Software Development,Mid,9 - 14 Years,Monster
MON0380,Pro C Developer,Gainwell Technologies LLC,Remote,,,Software Development,Mid,5 - 10 Years,Monster
MON0381,Cobol/C Developer,Orion India Systems Private Limited,Remote,,,Software Development,Mid,4 - 6 Years,Monster
MON0382,Full Stack Engineer - React C#,Luxoft India Llp,Remote,,,Web Development,Mid,5 - 8 Years,Monster
MON0383,.NET Developer ( C# ),"**********
            Company name confidential","Bengaluru, Delhi NCR, Pune",,,Software Development,Mid,INR 12 - 19.5 LPA,Monster
MON0384,Sr BA Reinsurance,Birlasoft Limited,Remote,,,Other,Senior,8 - 10 Years,Monster
MON0385,Software Engineering manager,Canterr It Services India Private Limited,Remote,,,Software Development,Manager,5 - 6 Years,Monster
MON0386,Engineering Manager / Tech Lead (IC),Canterr It Services India Private Limited,Remote,,,Software Development,Manager,5 - 6 Years,Monster
MON0387,.Net Architect,Azoca Technologies Llp,Remote,,,Software Development,Mid,INR 12 - 15 LPA,Monster
MON0388,dotnet developler,Xpetize Technology Solutions Private Limited,Remote,,,Other,Mid,3 - 7 Years,Monster
MON0389,Software engineer - Dot net,Xpetize Technology Solutions Private Limited,Remote,,,Software Development,Mid,4 - 9 Years,Monster
MON0390,Quality Assurance (QA) Engineer,Robotics Technologies,"Noida, Delhi NCR, Pune",,,Quality Assurance / Testing,Mid,5 - 10 Years,Monster
MON0391,Robotics and Automation - TDC,Hical Technologies Private Limited,Bengaluru,,,Other,Mid,2 - 3 Years,Monster
MON0392,Delivery Head AI & Robotics,Talent Ahead India Private Limited,Pune,,,Artificial Intelligence / Machine Learning,Director,12 - 17 Years,Monster
MON0393,Robotics - Senior Associate,BNP Paribas India Solutions Private Limited,Bengaluru,,,Other,Senior,5 - 10 Years,Monster
