job_id,job_title,company_name,location,city,state,industry,job_position,experience,source
NAK037,S&CGN - Tech Strategy & Advisory - Data on Cloud - Manager,Accenture,"Mumbai, Pune, Bengaluru",,,,,10-15 Yrs,Naukri.com
NAK038,S&C Global Network- Strategy- Production & Operations Consultant,Accenture,"Mumbai, New Delhi, Pune",,,,,5-10 Yrs,Naukri.com
NAK039,SS&C Global Network - Strategy - MC - Industry X Smart Connected,Accenture,"Mumbai, Pune, Bengaluru",,,,,12-16 Yrs,Naukri.com
NAK040,GN - Industry Utilities- Water Solution Architect,Accenture,"Mumbai, Pune, Gurugram",,,,,10-16 Yrs,Naukri.com
NAK041,GN-Industrial- Traffic Management - Industrial,Accenture,"Mumbai, Pune, Chennai",,,,,1-6 Yrs,Naukri.com
NAK042,GN - SONG - C&S - Japan Bilingual - Manager,Accenture,"Mumbai, Gurugram, Bengaluru",,,,,2-6 Yrs,Naukri.com
NAK043,GN- Comms & Media - Media - Consultant,Accenture,"Mumbai, Gurugram, Bengaluru",,,,,1-6 Yrs,Naukri.com
NAK044,GN - SC&O - S&P - CLM - Consultant,Accenture,"Mumbai, Gurugram, Bengaluru",,,,,1-5 Yrs,Naukri.com
NAK045,GN- Software & Platforms - Platforms Strategist - Consultant,Accenture,"Mumbai, Gurugram, Bengaluru",,,,,1-6 Yrs,Naukri.com
NAK046,GN - SONG - Service - Google CCAI - Manager,Accenture,"Mumbai, Gurugram, Chennai",,,,,13-16 Yrs,Naukri.com
NAK047,S&C GN CFO&EV -TAX - Consultant,Accenture,"Mumbai, Gurugram, Bengaluru",,,,,2-7 Yrs,Naukri.com
NAK048,GN - SONG - MT - Content Management - Senior Manager,Accenture,"Mumbai, Delhi / NCR, Bengaluru",,,,,12-16 Yrs,Naukri.com
NAK049,GN - SONG - C&S - Pricing - Consultant,Accenture,"Mumbai, Gurugram, Bengaluru",,,,,7-10 Yrs,Naukri.com
NAK050,GN-Banking - Payments - Manager,Accenture,"Mumbai, Gurugram, Bengaluru",,,,,4-9 Yrs,Naukri.com
NAK051,Oracle Fusion SCM Functional Lead,Oracle,"Hybrid - Kolkata, Mumbai, Gandhinagar, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru, Delhi / NCR, Thiruvananthapuram",,,,,8-13 Yrs,Naukri.com
NAK052,S&C Global Network - Strategy-MC- Digital Engineering R&D - Consultant,Accenture,"Mumbai, Gurugram, Bengaluru",,,,,3-7 Yrs,Naukri.com
NAK053,S&CGN - Tech Strategy & Advisory - Tech M&A Consultant,Accenture,"Mumbai, Gurugram, Bengaluru",,,,,14-20 Yrs,Naukri.com
NAK054,GN - Strategy - MC - CFO EV Finance Operations - Manager,Accenture,"Mumbai, Gurugram, Bengaluru",,,,,8-12 Yrs,Naukri.com
NAK055,GN - Strategy - MC - CFO EV Enabling Technologies - Manager,Accenture,"Mumbai, Gurugram, Bengaluru",,,,,8-10 Yrs,Naukri.com
NAK056,GN - SONG - Service - Microsoft CRM - Senior Manager,Accenture,"Mumbai, Gurugram, Bengaluru",,,,,13-18 Yrs,Naukri.com
NAK057,GN-Capital Markets-Consultant,Accenture,"Mumbai, Gurugram, Bengaluru",,,,,11-14 Yrs,Naukri.com
NAK058,S&C Global Network - Strategy - MC - Industry X - Production,Accenture,"Mumbai, New Delhi, Bengaluru",,,,,5-7 Yrs,Naukri.com
NAK059,S&CGN - Tech Strategy & Advisory -Platform Strategy - Sr. Manager,Accenture,"Mumbai, Hyderabad, Bengaluru",,,,,10-15 Yrs,Naukri.com
NAK060,GN - Strategy - MC - SC&O - SC Digital Core Oracle- Manager,Accenture,"Mumbai, Gurugram, Bengaluru",,,,,8-12 Yrs,Naukri.com
NAK061,"Risk, Risk Testing Group, Analyst/Associate,",Goldman Sachs,Mumbai,,,,,1-4 Yrs,Naukri.com
NAK062,Application Support Engineer,Oracle,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",,,,,0-2 Yrs,Naukri.com
NAK063,GN SC&O - S&P PT Spend Transformation Senior Manager,Accenture,"Mumbai, Gurugram, Delhi / NCR",,,,,1-5 Yrs,Naukri.com
NAK064,S&C GN CFO&EV -TAX - Consultant,Accenture,Mumbai,,,,,2-7 Yrs,Naukri.com
NAK065,Tax Senior,WPP,Mumbai,,,,,3-7 Yrs,Naukri.com
NAK066,GN - Strategy - MC - CFO EV Risk and Compliance - RC Consultant,Accenture,Mumbai,,,,,4-7 Yrs,Naukri.com
NAK067,Lead Account Solution Engineer - Public Sector,Salesforce,Mumbai,,,,,8-13 Yrs,Naukri.com
NAK068,ANALYST,Atos,"Mumbai, Navi Mumbai",,,,,5-9 Yrs,Naukri.com
NAK069,S&C Global Network - Strategy - MC - Industry X - Production,Accenture,"Mumbai, New Delhi, Gurugram",,,,,15-20 Yrs,Naukri.com
NAK070,"Sr. Application Architect, Professional Services",Amazon,Mumbai,,,,,7-11 Yrs,Naukri.com
NAK071,GN - SONG - MT - Marketing Automation - Manager,Accenture,"Mumbai, Gurugram, Delhi / NCR",,,,,8-13 Yrs,Naukri.com
NAK072,GN-Comms & Media -Mobile Private Networks Manager,Accenture,"Mumbai, Gurugram, Delhi / NCR",,,,,8-13 Yrs,Naukri.com
NAK073,S&C-GN - E2E Delivery Lead - Platforms (SAP)_CL6,Accenture,Mumbai,,,,,10-20 Yrs,Naukri.com
NAK074,GN - Strategy - MC - CFO EV ERP Platforms -Senior Manager,Accenture,Mumbai,,,,,4-8 Yrs,Naukri.com
NAK075,Senior Solution Engineer - Retail & Consumer Goods,Salesforce,Mumbai,,,,,7-12 Yrs,Naukri.com
NAK076,GN - A&D - SAP - Consultant,Accenture,"Mumbai, Chennai, Gurugram",,,,,6-11 Yrs,Naukri.com
NAK077,S&C GN CFO&EV - ERP Platforms Manager,Accenture,Mumbai,,,,,8-13 Yrs,Naukri.com
