job_id,job_title,company_name,location,source
TAL0078,Pyspark developer,Randstad India,"Hyderabad, Telangana, India",Talent
TAL0079,PySpark Technical Lead,Sopra Steria,"Chennai, Tamil Nadu, India",Talent
TAL0080,PySpark Developer,Corporate Resources,Bengaluru,Talent
TAL0081,Senior PySpark Developer,Victrix Systems & Labs,"Delhi, IN",Talent
TAL0082,Python Developer - PySpark,Evoke HR Solutions,Mumbai,Talent
TAL0083,"Hadoop , Pyspark Developer",Allime Tech Solutions Private Limited,"Bangalore, KA, India",Talent
TAL0084,PySpark Developer,Risk Resources LLP,Kolkata,Talent
TAL0085,Senior - PySpark,KPMG India,"Gurgaon, Haryana, India",Talent
TAL0086,Pyspark Developer,Tata Consultancy Services,India,Talent
TAL0087,Pyspark Developer,DATAECONOMY,"Pune, Maharashtra, India",Talent
TAL0088,Data Engineer - PySpark,NexionPro,"Delhi, IN",Talent
TAL0089,Pyspark Developer,Wipro,"Chennai, India",Talent
TAL0090,Java Backend Engineer,Tranzeal Incorporated,"Bengaluru, Karnataka, India",Talent
TAL0091,Backend Engineer - Java,Live Connections placements Pvt Ltd,India,Talent
TAL0092,Java backend Developer,Zone IT Solutions,"Gurugram, HR, IN",Talent
TAL0093,Java Backend Developer,N Consulting Ltd,"Pimpri-Chinchwad, Pune Division, India",Talent
TAL0094,Java Backend Developer,Worldline,"Pune, Maharashtra, India",Talent
TAL0095,Java Backend Lead,Coforge,"Bengaluru, Karnataka, India",Talent
TAL0096,Java BackEnd Lead,Axiom Software Solutions Limited,"Bengaluru, KA, IN",Talent
TAL0097,Backend Developer - Java,DATAART TECHNOLOGIES INDIA PRIVATE LIMITED,Bangalore,Talent
TAL0098,Backend Java,Redian Software Global,"Gurgaon, Haryana, India",Talent
TAL0099,Java Backend Developer,Anlage Infotech (India) P Ltd,"Aurangabad, IN",Talent
TAL0100,Java Backend Developer,Smarsh,"Bengaluru, Karnataka, India",Talent
TAL0101,Java Backend developer,Stackave Solutions,"Bengaluru, Karnataka, India",Talent
TAL0102,JAVA Backend LeadArchitect,TalentOla,"Bangalore, Karnataka, India",Talent
TAL0103,Java Backend Developer,Amantya Technologies,"Gurugram, Haryana, India",Talent
TAL0104,Java Backend,myGwork,"India - Bengaluru, India",Talent
TAL0105,Java Backend Engineer,Aditi India,"Pune, Maharashtra, India",Talent
TAL0106,Java Backend Engineer,Birdeye,India,Talent
TAL0107,Backend Lead,Proclink,"Hyderabad, Telangana, India",Talent
TAL0108,Backend Engineer,preferable.ai,"Pune, MH, in",Talent
TAL0109,SDE3 Backend,Weekday AI,"Chennai, TN, IN",Talent
TAL0110,Backend Lead,"GSPANN Technologies, Inc","Bengaluru, Karnataka, India",Talent
TAL0111,Backend Engineer,KeyValue Software Systems,"Kochi, Kerala, India",Talent
TAL0112,Backend Engineer,Kounsel,"Hyderabad, Telangana, India",Talent
TAL0113,Backend Architect,Acme Services Private Limited,"Pune, Maharashtra, India",Talent
TAL0114,Backend Developer,Battlebucks,India,Talent
TAL0115,Backend Developer,alle,India,Talent
TAL0116,Backend Developer,CloudHire,"Mumbai, MH, IN",Talent
TAL0117,Backend Engineer,hotsourced,"Mangalore, IN",Talent
TAL0118,Backend Developer,Seamless Fintech Innovations Pvt Ltd,Gurgaon,Talent
TAL0119,Backend Developer,MTAB Technology Center P Ltd,"chennai, TN, in",Talent
TAL0120,Backend Java,Redian Software Global,"Gurgaon Kty., HR, in",Talent
TAL0121,Backend Engineer,Grow Your Staff,"Mumbai, IN",Talent
TAL0122,Backend Engineer,StockGro,"Bengaluru, Karnataka, India",Talent
TAL0123,Backend Engineer,Celstream Technologies,"Bengaluru, Karnataka, India",Talent
TAL0124,Backend Engineer,TabSquare.AI,"Kollam, IN",Talent
TAL0125,Backend Engineer,"LotusFlare, Inc.","Pune, IN",Talent
